第1到第1件商品, 当前价格100, f[i]1600
第1到第1件商品, 当前价格99, f[i]1600
第1到第1件商品, 当前价格98, f[i]1600
第1到第1件商品, 当前价格97, f[i]1600
第1到第1件商品, 当前价格96, f[i]1600
第1到第1件商品, 当前价格95, f[i]1600
第1到第1件商品, 当前价格94, f[i]1600
第1到第1件商品, 当前价格93, f[i]1600
第1到第1件商品, 当前价格92, f[i]1600
第1到第1件商品, 当前价格91, f[i]1600
第1到第1件商品, 当前价格90, f[i]1600
第1到第1件商品, 当前价格89, f[i]1600
第1到第1件商品, 当前价格88, f[i]1600
第1到第1件商品, 当前价格87, f[i]1600
第1到第1件商品, 当前价格86, f[i]1600
第1到第1件商品, 当前价格85, f[i]1600
第1到第1件商品, 当前价格84, f[i]1600
第1到第1件商品, 当前价格83, f[i]1600
第1到第1件商品, 当前价格82, f[i]1600
第1到第1件商品, 当前价格81, f[i]1600
第1到第1件商品, 当前价格80, f[i]1600
第1到第4件商品, 当前价格100, f[i]1600
第1到第4件商品, 当前价格99, f[i]1600
第1到第4件商品, 当前价格98, f[i]1600
第1到第4件商品, 当前价格97, f[i]1600
第1到第4件商品, 当前价格96, f[i]1600
第1到第4件商品, 当前价格95, f[i]1600
第1到第4件商品, 当前价格94, f[i]1600
第1到第4件商品, 当前价格93, f[i]1600
第1到第4件商品, 当前价格92, f[i]1600
第1到第4件商品, 当前价格91, f[i]1600
第1到第4件商品, 当前价格90, f[i]1600
第1到第4件商品, 当前价格89, f[i]1600
第1到第4件商品, 当前价格88, f[i]1600
第1到第4件商品, 当前价格87, f[i]1600
第1到第4件商品, 当前价格86, f[i]1600
第1到第4件商品, 当前价格85, f[i]1600
第1到第4件商品, 当前价格84, f[i]1600
第1到第4件商品, 当前价格83, f[i]1600
第1到第4件商品, 当前价格82, f[i]1600
第1到第4件商品, 当前价格81, f[i]1600
第1到第4件商品, 当前价格80, f[i]1600
第1到第4件商品, 当前价格79, f[i]1200
第1到第4件商品, 当前价格78, f[i]1200
第1到第4件商品, 当前价格77, f[i]1200
第1到第4件商品, 当前价格76, f[i]1200
第1到第4件商品, 当前价格75, f[i]1200
第1到第4件商品, 当前价格74, f[i]1200
第1到第4件商品, 当前价格73, f[i]1200
第1到第4件商品, 当前价格72, f[i]1200
第1到第4件商品, 当前价格71, f[i]1200
第1到第4件商品, 当前价格70, f[i]1200
第1到第4件商品, 当前价格69, f[i]1200
第1到第4件商品, 当前价格68, f[i]1200
第1到第4件商品, 当前价格67, f[i]1200
第1到第4件商品, 当前价格66, f[i]1200
第1到第4件商品, 当前价格65, f[i]1200
第1到第4件商品, 当前价格64, f[i]1200
第1到第4件商品, 当前价格63, f[i]1200
第1到第4件商品, 当前价格62, f[i]1200
第1到第4件商品, 当前价格61, f[i]1200
第1到第4件商品, 当前价格60, f[i]1200
第1到第4件商品, 当前价格59, f[i]1200
第1到第4件商品, 当前价格58, f[i]1200
第1到第4件商品, 当前价格57, f[i]1200
第1到第4件商品, 当前价格56, f[i]1200
第1到第4件商品, 当前价格55, f[i]1200
第1到第4件商品, 当前价格54, f[i]1200
第1到第4件商品, 当前价格53, f[i]1200
第1到第4件商品, 当前价格52, f[i]1200
第1到第4件商品, 当前价格51, f[i]1200
第1到第4件商品, 当前价格50, f[i]1200
第1到第4件商品, 当前价格49, f[i]1200
第1到第4件商品, 当前价格48, f[i]1200
第1到第4件商品, 当前价格47, f[i]1200
第1到第4件商品, 当前价格46, f[i]1200
第1到第4件商品, 当前价格45, f[i]1200
第1到第4件商品, 当前价格44, f[i]1200
第1到第4件商品, 当前价格43, f[i]1200
第1到第4件商品, 当前价格42, f[i]1200
第1到第4件商品, 当前价格41, f[i]1200
第1到第4件商品, 当前价格40, f[i]1200
第1到第5件商品, 当前价格100, f[i]2200
第1到第5件商品, 当前价格99, f[i]2200
第1到第5件商品, 当前价格98, f[i]2200
第1到第5件商品, 当前价格97, f[i]2200
第1到第5件商品, 当前价格96, f[i]2200
第1到第5件商品, 当前价格95, f[i]2200
